"CRUISE","REGION","AGE","SPECIES_CODE","LENGTH","WEIGHT"
201801,"AI",6,21740,560,1112
201801,"AI",6,21740,560,1350
201801,"AI",6,21740,560,1552
201801,"AI",6,21740,570,1490
201801,"AI",6,21740,590,1155
201801,"AI",6,21740,590,1684
201801,"AI",6,21740,600,1704
201801,"AI",7,21740,440,620
201801,"AI",7,21740,450,734
201801,"AI",7,21740,450,754
201801,"AI",7,21740,460,645
201801,"AI",7,21740,460,676
201801,"AI",7,21740,460,736
201801,"AI",7,21740,460,810
201801,"AI",7,21740,470,735
201801,"AI",7,21740,470,748
201801,"AI",7,21740,470,765
201801,"AI",7,21740,470,860
201801,"AI",7,21740,470,905
201801,"AI",7,21740,480,766
201801,"AI",7,21740,480,800
201801,"AI",7,21740,480,850
201801,"AI",7,21740,480,852
201801,"AI",7,21740,480,950
201801,"AI",7,21740,490,788
201801,"AI",7,21740,490,845
201801,"AI",7,21740,490,916
201801,"AI",7,21740,490,922
201801,"AI",7,21740,490,934
201801,"AI",7,21740,490,940
201801,"AI",7,21740,490,996
201801,"AI",7,21740,490,1010
201801,"AI",7,21740,490,1050
201801,"AI",7,21740,490,1055
201801,"AI",7,21740,500,815
201801,"AI",7,21740,500,936
201801,"AI",7,21740,500,1000
201801,"AI",7,21740,500,1022
201801,"AI",7,21740,500,1040
201801,"AI",7,21740,500,1045
201801,"AI",7,21740,500,1058
201801,"AI",7,21740,500,1146
201801,"AI",7,21740,510,982
201801,"AI",7,21740,510,1022
201801,"AI",7,21740,510,1090
201801,"AI",7,21740,510,1200
201801,"AI",7,21740,510,1248
201801,"AI",7,21740,520,874
201801,"AI",7,21740,520,900
201801,"AI",7,21740,520,966
201801,"AI",7,21740,520,1000
201801,"AI",7,21740,520,1106
201801,"AI",7,21740,520,1116
201801,"AI",7,21740,530,984
201801,"AI",7,21740,530,1028
201801,"AI",7,21740,530,1030
201801,"AI",7,21740,530,1074
201801,"AI",7,21740,530,1086
201801,"AI",7,21740,530,1124
201801,"AI",7,21740,530,1134
201801,"AI",7,21740,530,1234
201801,"AI",7,21740,530,1376
201801,"AI",7,21740,540,1044
201801,"AI",7,21740,540,1058
201801,"AI",7,21740,540,1180
201801,"AI",7,21740,540,1230
201801,"AI",7,21740,540,1310
201801,"AI",7,21740,540,1380
201801,"AI",7,21740,540,1500
201801,"AI",7,21740,550,1095
201801,"AI",7,21740,550,1168
201801,"AI",7,21740,550,1390
201801,"AI",7,21740,560,1215
201801,"AI",7,21740,560,1240
201801,"AI",7,21740,560,1262
201801,"AI",7,21740,560,1384
201801,"AI",7,21740,570,1132
201801,"AI",7,21740,570,1174
201801,"AI",7,21740,570,1372
201801,"AI",7,21740,580,1125
201801,"AI",7,21740,580,1375
201801,"AI",7,21740,600,1400
201801,"AI",7,21740,600,1495
201801,"AI",7,21740,600,1560
201801,"AI",7,21740,610,1550
201801,"AI",7,21740,620,1810
201801,"AI",7,21740,630,1736
201801,"AI",7,21740,630,1895
201801,"AI",7,21740,640,2300
201801,"AI",7,21740,660,1730
201801,"AI",8,21740,450,650
201801,"AI",8,21740,450,740
